level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1659	858	-1	
2	1	1	0	0	0	875	222	580	206	-1	
3	1	1	1	0	0	875	222	586	206	-1	
4	1	1	1	1	0	875	222	580	206	-1	
5	1	1	1	1	1	875	226	117	136	15.964195	0
5	1	1	1	1	2	1094	222	361	206	15.964195	—_
2	1	2	0	0	0	12	268	761	590	-1	
3	1	2	1	0	0	12	268	761	590	-1	
4	1	2	1	1	0	12	268	761	590	-1	
5	1	2	1	1	1	12	268	761	590	8.318367	GATT
2	1	3	0	0	0	761	527	655	223	-1	
3	1	3	1	0	0	761	527	655	223	-1	
4	1	3	1	1	0	761	527	655	223	-1	
5	1	3	1	1	1	761	527	655	223	91.029953	ORIA
